,filename,Percentile value of 90 %,Percentile value of 75 %
0,n12144580_989,[0.5582485198974609],[0.4395568370819092]
1,n04023962_10027,[0.6977753043174744],[0.4154934287071228]
2,n04023962_10030,[0.8144904375076294],[0.7003026008605957]
3,n04023962_10108,[0.7236526608467102],[0.5259314775466919]
4,n04023962_10130,[0.7880799770355225],[0.656535267829895]
5,n04023962_10140,[0.8454720377922058],[0.5459145903587341]
6,n04023962_10183,[0.7048636078834534],[0.5570067763328552]
7,n04023962_10199,[0.6481606960296631],[0.47096067667007446]
8,n04023962_10244,[0.6239454746246338],[0.452691912651062]
9,n04023962_10303,[0.5028854608535767],[0.42332470417022705]
10,n04023962_10304,[0.8796509504318237],[0.7994086891412735]
11,n04023962_10405,[0.7792881727218628],[0.7156984806060791]
12,n04023962_10463,[0.8791584968566895],[0.6947271227836609]
13,n04023962_1048,[0.8913850784301758],[0.8898943662643433]
14,n04023962_10518,[0.966044545173645],[0.902359127998352]
15,n04023962_10542,[0.9356038570404053],[0.7858989238739014]
16,n04023962_10562,[0.7856430411338806],[0.6839945316314697]
17,n04023962_10577,[0.3615298867225647],[0.3257843255996704]
18,n04023962_10666,[0.5296040177345276],[0.4419308304786682]
19,n04023962_10682,[0.62982177734375],[0.5449615716934204]
20,n04023962_10732,[0.8400611877441406],[0.80351722240448]
21,n04023962_10752,[0.7942891120910645],[0.6850359439849854]
22,n04023962_10805,[0.6819868683815002],[0.6038644909858704]
23,n04023962_10910,[0.929680585861206],[0.8364091515541077]
24,n04023962_10919,[0.990817129611969],[0.9559115767478943]
25,n04023962_1093,[0.8601692318916321],[0.8601691722869873]
26,n04023962_10999,[0.8439673781394958],[0.6742368340492249]
27,n04023962_11073,[0.6078563928604126],[0.504436194896698]
28,n04023962_11076,[0.5770793557167053],[0.4247126579284668]
29,n04023962_1116,[0.7907663583755493],[0.7095438241958618]
30,n04023962_11210,[0.5526473522186279],[0.513859212398529]
31,n04023962_11276,[0.8735485672950745],[0.8512693643569946]
32,n04023962_11297,[0.7605730891227722],[0.5535057783126831]
33,n04023962_1132,[0.6378700137138367],[0.45463937520980835]
34,n04023962_11348,[0.7109471559524536],[0.6013982892036438]
35,n04023962_11460,[0.6215177178382874],[0.45108938217163086]
36,n04023962_1153,[0.8767374157905579],[0.5464980602264404]
37,n04023962_1163,[0.3931663930416107],[0.3340466618537903]
38,n04023962_11674,[0.6218382716178894],[0.5285148620605469]
39,n04023962_11675,[0.8014805316925049],[0.6764577627182007]
40,n04023962_1175,[0.47611263394355774],[0.40508195757865906]
41,n04023962_11778,[0.7640194892883301],[0.5351977944374084]
42,n04023962_11795,[0.7734799385070801],[0.68402099609375]
43,n04023962_118,[0.7278980612754822],[0.5835458040237427]
44,n04023962_11951,[0.7139464616775513],[0.4732130169868469]
